pays,population_totale_2017,croissance_pop_2012_2017_pct,pib_habitant_usd,indice_stabilite_politique,indice_score_epi,conso_volaille_kg_hab,conso_volaille_pct,importations_volaille_kg,tdi_volaille_pct
Guinée-Bissau,1828145.000,13.905,719.300,-0.500,44.670,2.160,12.490,4000000.000,57.140
Guyana,775222.000,2.624,6178.669,-0.050,47.930,38.340,84.790,0.000,0.000
Haïti,10982366.000,7.135,1411.396,-0.680,33.740,8.910,50.600,89000000.000,90.820
Honduras,9429013.000,9.123,2413.008,-0.570,51.510,21.730,65.670,12000000.000,5.850
Hongrie,9729823.000,-1.364,14647.547,0.800,65.010,25.270,31.700,58000000.000,10.530
Îles Salomon,636039.000,14.383,2143.578,0.190,43.220,4.450,37.900,6000000.000,100.000
Inde,1338676785.000,5.759,1930.140,-0.770,30.570,2.220,58.730,0.000,0.000
Indonésie,264650963.000,6.520,3798.883,-0.500,46.920,7.190,61.510,1000000.000,0.040
Iran (République islamique d'),80673883.000,6.796,5924.135,-0.930,58.160,27.520,76.490,6000000.000,0.280
Iraq,37552781.000,17.757,4759.284,-2.300,43.200,14.950,78.440,470000000.000,83.040
Irlande,4753279.000,3.148,72456.033,0.990,78.770,25.820,32.820,99000000.000,47.370
Islande,334393.000,2.684,71982.584,1.340,78.570,29.950,32.910,2000000.000,16.670
Israël,8243848.000,8.259,42868.670,-0.890,75.010,67.390,69.470,0.000,0.000
